## Name:ideal3_shmip
## Icon:0
# Points Count Value
5706 1.000000
# X pos Y pos
476.079347 369.402286
477.079513 -369.576787
477.079513 369.576787
478.079680 -369.751107
478.079680 369.751107
479.079847 -369.924946
479.079847 369.924946
480.080013 -370.097965
480.080013 370.097965
481.080180 -370.270805
481.080180 370.270805
482.080347 -370.443466
482.080347 370.443466
483.080513 -370.615948
483.080513 370.615948
484.080680 -370.788253
484.080680 370.788253
485.080847 -370.959899
485.080847 370.959899
486.081014 -371.130924
486.081014 371.130924
487.081180 -371.301774
487.081180 371.301774
488.081347 -371.472448
488.081347 371.472448
489.081514 -371.642948
489.081514 371.642948
490.081680 -371.813274
490.081680 371.813274
491.081847 -371.982828
491.081847 371.982828
492.082014 -372.151894
492.082014 372.151894
493.082180 -372.320789
493.082180 372.320789
494.082347 -372.489513
494.082347 372.489513
495.082514 -372.658065
495.082514 372.658065
496.082680 -372.826447
496.082680 372.826447
497.082847 -372.994007
497.082847 372.994007
498.083014 -373.161150
498.083014 373.161150
499.083181 -373.328124
499.083181 373.328124
500.083347 -373.494930
500.083347 373.494930
501.083514 -373.661570
501.083514 373.661570
502.083681 -373.828042
502.083681 373.828042
503.083847 -373.993704
503.083847 373.993704
504.084014 -374.158956
504.084014 374.158956
505.084181 -374.324043
505.084181 374.324043
506.084347 -374.488966
506.084347 374.488966
507.084514 -374.653725
507.084514 374.653725
508.084681 -374.818321
508.084681 374.818321
509.084847 -374.982178
509.084847 374.982178
510.085014 -375.145573
510.085014 375.145573
511.085181 -375.308806
511.085181 375.308806
512.085348 -375.471878
512.085348 375.471878
513.085514 -375.634789
513.085514 375.634789
514.085681 -375.797540
514.085681 375.797540
515.085848 -375.959684
515.085848 375.959684
516.086014 -376.121253
516.086014 376.121253
517.086181 -376.282663
517.086181 376.282663
518.086348 -376.443916
518.086348 376.443916
519.086514 -376.605011
519.086514 376.605011
520.086681 -376.765950
520.086681 376.765950
521.086848 -376.926467
521.086848 376.926467
522.087015 -377.086242
522.087015 377.086242
523.087181 -377.245861
523.087181 377.245861
524.087348 -377.405326
524.087348 377.405326
525.087515 -377.564636
525.087515 377.564636
526.087681 -377.723792
526.087681 377.723792
527.087848 -377.882769
527.087848 377.882769
528.088015 -378.040780
528.088015 378.040780
529.088181 -378.198638
529.088181 378.198638
530.088348 -378.356345
530.088348 378.356345
531.088515 -378.513901
531.088515 378.513901
532.088681 -378.671305
532.088681 378.671305
533.088848 -378.828559
533.088848 378.828559
534.089015 -378.985101
534.089015 378.985101
535.089182 -379.141228
535.089182 379.141228
536.089348 -379.297207
536.089348 379.297207
537.089515 -379.453037
537.089515 379.453037
538.089682 -379.608719
538.089682 379.608719
539.089848 -379.764254
539.089848 379.764254
540.090015 -379.919433
540.090015 379.919433
541.090182 -380.073858
541.090182 380.073858
542.090348 -380.228137
542.090348 380.228137
543.090515 -380.382270
543.090515 380.382270
544.090682 -380.536259
544.090682 380.536259
545.090848 -380.690103
545.090848 380.690103
546.091015 -380.843803
546.091015 380.843803
547.091182 -380.996748
547.091182 380.996748
548.091349 -381.149356
548.091349 381.149356
549.091515 -381.301822
549.091515 381.301822
550.091682 -381.454145
550.091682 381.454145
551.091849 -381.606326
551.091849 381.606326
552.092015 -381.758366
552.092015 381.758366
553.092182 -381.910117
553.092182 381.910117
554.092349 -382.061081
554.092349 382.061081
555.092515 -382.211905
555.092515 382.211905
556.092682 -382.362590
556.092682 382.362590
557.092849 -382.513136
557.092849 382.513136
558.093016 -382.663544
558.093016 382.663544
559.093182 -382.813812
559.093182 382.813812
560.093349 -382.963520
560.093349 382.963520
561.093516 -383.112731
561.093516 383.112731
562.093682 -383.261804
562.093682 383.261804
563.093849 -383.410741
563.093849 383.410741
564.094016 -383.559543
564.094016 383.559543
565.094182 -383.708208
565.094182 383.708208
566.094349 -383.856738
566.094349 383.856738
567.094516 -384.004501
567.094516 384.004501
568.094682 -384.151990
568.094682 384.151990
569.094849 -384.299345
569.094849 384.299345
570.095016 -384.446566
570.095016 384.446566
571.095183 -384.593653
571.095183 384.593653
572.095349 -384.740608
572.095349 384.740608
573.095516 -384.887417
573.095516 384.887417
574.095683 -385.033346
574.095683 385.033346
575.095849 -385.179144
575.095849 385.179144
576.096016 -385.324810
576.096016 385.324810
